Bank Code,Bank,Branch Code,Branch Name,Status,Effective Date
1,KCB Bank Limited,263,Biashara Street ,Open,2001-01-01
1,KCB Bank Limited,181,Bomet ,Open,2001-01-01
1,KCB Bank Limited,228,Bondo ,Open,2001-01-01
1,KCB Bank Limited,197,Bungoma ,Open,2001-01-01
1,KCB Bank Limited,205,Buruburu ,Open,2001-01-01
1,KCB Bank Limited,229,Busia ,Open,2001-01-01
1,KCB Bank Limited,171,Cannon House Branch ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,201,Capital Hill ,Open,2001-01-01
1,KCB Bank Limited,139,Card Centre ,Open,2001-01-01
1,KCB Bank Limited,206,Chogoria ,Open,2001-01-01
1,KCB Bank Limited,196,Chuka ,Open,2001-01-01
1,KCB Bank Limited,118,City Centre ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,292,Cpc Bulk Corporate Cheques ,Open,2001-01-01
1,KCB Bank Limited,302,Diaspora ,Open,2013-02-13
1,KCB Bank Limited,91,Eastleigh ,Open,2001-01-01
1,KCB Bank Limited,252,Egerton University ,Open,2001-01-01
1,KCB Bank Limited,163,Eldama Ravine ,Open,2001-01-01
1,KCB Bank Limited,109,Eldoret ,Open,2001-01-01
1,KCB Bank Limited,215,Emali ,Open,2001-01-01
1,KCB Bank Limited,116,Embu ,Open,2001-01-01
1,KCB Bank Limited,325,Garden City,Open,2016-01-30
1,KCB Bank Limited,290,Garden Plaza ,Open,2001-01-01
1,KCB Bank Limited,169,Garissa ,Open,2001-01-01
1,KCB Bank Limited,226,Garsen ,Open,2001-01-01
1,KCB Bank Limited,204,Gateway Msa Road ,Open,2001-01-01
1,KCB Bank Limited,214,Gatundu ,Open,2001-01-01
1,KCB Bank Limited,257,Gikomba ,Open,2001-01-01
1,KCB Bank Limited,159,Gilgil ,Open,2001-01-01
1,KCB Bank Limited,193,Githunguri ,Open,2001-01-01
1,KCB Bank Limited,288,Haile Selassie ,Open,2001-01-01
1,KCB Bank Limited,156,Harambee Plaza Branch ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,94,Head Office ,Open,2001-01-01
1,KCB Bank Limited,96,Head Office Finance,Open,2011-08-30
1,KCB Bank Limited,146,Hola ,Open,2001-01-01
1,KCB Bank Limited,230,Homa Bay ,Open,2001-01-01
1,KCB Bank Limited,170,Homa Bay Branch ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,306,Hurlingham,Open,2013-07-04
1,KCB Bank Limited,113,Industrial Area Nairobi ,Open,2001-01-01
1,KCB Bank Limited,284,Isibania ,Open,2001-01-01
1,KCB Bank Limited,216,Isiolo ,Open,2001-01-01
1,KCB Bank Limited,158,Iten ,Open,2001-01-01
1,KCB Bank Limited,326,JKIA,Open,2016-02-28
1,KCB Bank Limited,137,Jogoo Rd Nairobi ,Open,2001-01-01
1,KCB Bank Limited,152,Kabarnet ,Open,2001-01-01
1,KCB Bank Limited,131,Kajiado ,Open,2001-01-01
1,KCB Bank Limited,110,Kakamega ,Open,2001-01-01
1,KCB Bank Limited,207,Kangare ,Open,2001-01-01
1,KCB Bank Limited,117,Kangema ,Open,2001-01-01
1,KCB Bank Limited,151,Kapenguria ,Open,2001-01-01
1,KCB Bank Limited,166,Kapsabet ,Open,2001-01-01
1,KCB Bank Limited,182,Kapsokwony Branch ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,231,Kapsowar ,Open,2001-01-01
1,KCB Bank Limited,120,Karatina ,Open,2001-01-01
1,KCB Bank Limited,202,Karen ,Open,2001-01-01
1,KCB Bank Limited,260,Kariobangi ,Open,2001-01-01
1,KCB Bank Limited,309,Kasarani Branch,Open,2013-08-19
1,KCB Bank Limited,254,Kawangare ,Open,2001-01-01
1,KCB Bank Limited,324,Kayole,Open,2015-11-06
1,KCB Bank Limited,315,KCB Changamwe,Open,2014-12-05
1,KCB Bank Limited,92,KCB CPC,Open,2001-01-01
1,KCB Bank Limited,133,KCB Custody services,Open,2001-01-01
1,KCB Bank Limited,312,KCB Eldoret East,Open,2014-02-12
1,KCB Bank Limited,168,KCB Eldoret West,Open,2001-01-01
1,KCB Bank Limited,217,KCB Flamingo,Open,2001-01-01
1,KCB Bank Limited,323,KCB Gigiri Square,Open,2015-04-15
1,KCB Bank Limited,321,KCB ICD Kibarani,Open,2015-04-15
1,KCB Bank Limited,314,KCB JKUAT,Open,2014-08-25
1,KCB Bank Limited,311,KCB Kabartonjo,Open,2013-10-29
1,KCB Bank Limited,319,KCB Kitale Advantage,Open,2015-04-07
1,KCB Bank Limited,320,KCB Lavington,Open,2015-04-01
1,KCB Bank Limited,310,KCB Maasai Mara,Open,2013-09-25
1,KCB Bank Limited,316,KCB Makongeni,Open,2015-02-24
1,KCB Bank Limited,331,KCB Mogotio,Open,2017-03-14
1,KCB Bank Limited,318,KCB Moi Referral Hospital,Open,2015-04-01
1,KCB Bank Limited,330,KCB NextGen,Open,2017-02-10
1,KCB Bank Limited,322,KCB Riverside Advantage,Open,2015-04-15
1,KCB Bank Limited,317,KCB Syokimau,Open,2015-04-01
1,KCB Bank Limited,332,KCB Upperhill Platinum,Open,2017-01-13
1,KCB Bank Limited,178,Kehancha ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,232,Kehancha ,Open,2001-01-01
1,KCB Bank Limited,225,Kengeleni ,Open,2001-01-01
1,KCB Bank Limited,128,Kenyatta Avenue ,Closed - 01-JAN-99,2001-01-01
1,KCB Bank Limited,106,Kericho ,Open,2001-01-01
1,KCB Bank Limited,328,Kericho East,Open,2016-03-01
1,KCB Bank Limited,233,Keroka ,Open,2001-01-01
1,KCB Bank Limited,195,Kerugoya ,Open,2001-01-01
1,KCB Bank Limited,119,Kiambu ,Open,2001-01-01
1,KCB Bank Limited,208,Kianyaga ,Open,2001-01-01
1,KCB Bank Limited,307,Kibera,Open,2013-07-04
1,KCB Bank Limited,164,Kibwezi ,Open,2001-01-01
1,KCB Bank Limited,104,Kicc ,Open,2001-01-01
1,KCB Bank Limited,313,Kikim,Open,2014-04-22
1,KCB Bank Limited,129,Kikuyu ,Open,2001-01-01
1,KCB Bank Limited,234,Kilgoris ,Open,2001-01-01
1,KCB Bank Limited,174,Kilifi ,Open,2001-01-01
1,KCB Bank Limited,111,Kilindini Mombasa ,Open,2001-01-01
1,KCB Bank Limited,255,Kimathi ,Open,2001-01-01
1,KCB Bank Limited,235,Kimilili ,Open,2001-01-01
1,KCB Bank Limited,101,Kipande House ,Open,2001-01-01
1,KCB Bank Limited,251,Kiriaini ,Open,2001-01-01
1,KCB Bank Limited,287,Kisauni ,Open,2001-01-01
1,KCB Bank Limited,285,Kiserian ,Open,2001-01-01
1,KCB Bank Limited,191,Kisii ,Open,2001-01-01
1,KCB Bank Limited,303,Kisii West ,Open,2013-07-18
1,KCB Bank Limited,105,Kisumu ,Open,2001-01-01
1,KCB Bank Limited,297,Kisumu Airport,Open,2012-05-14
1,KCB Bank Limited,246,Kisumu West ,Open,2001-01-01
1,KCB Bank Limited,149,Kitale ,Open,2001-01-01
1,KCB Bank Limited,162,Kitengela ,Open,2001-01-01
1,KCB Bank Limited,135,Kitui ,Open,2001-01-01
1,KCB Bank Limited,258,Kwale ,Open,2001-01-01
1,KCB Bank Limited,267,Kyuso ,Open,2001-01-01
1,KCB Bank Limited,173,Lamu ,Open,2001-01-01
1,KCB Bank Limited,155,Limuru ,Open,2001-01-01
1,KCB Bank Limited,236,Litein ,Open,2001-01-01
